Nome,País,Cidade Atual,Sexo,Número do Cartão
Esther,China,Huolongping,Female,3577542255889857
Berton,Argentina,Veinticinco de Mayo,Male,6304646752192898
Fredra,Portugal,Bouça,Female,201704729359277
Brew,Cuba,Guisa,Male,56022240492715485
Olivier,Kenya,Kisii,Male,3584075991081191
Joyce,Vietnam,Gò Dầu,Female,676777151430615780
Jedd,China,Jingyang,Male,5100146489770874
Ashley,Tunisia,Thala,Female,5641821654444051
Rudiger,Haiti,Chambellan,Male,5018107319249928
Malachi,Brazil,Piúma,Male,5360764951396328
Duff,Poland,Janikowo,Male,3573824486864527
Miran,China,Nianpan,Female,630461172487141288
Bernard,Albania,Libofshë,Male,3533891875571343
Pedro,China,Jinchang,Male,630409585208475484
Bette-ann,China,Jinli,Female,58934782517633618
Titus,China,Huansheng,Male,6761841419436004
Laney,Philippines,Tubigan,Female,3559843250809920
Aubrey,China,Houping,Female,4026352516531875
Leonerd,Japan,Nirasaki,Male,3544882379858127
Yancy,Brazil,Joaçaba,Male,201938535651465
Ellswerth,France,Domont,Male,5002356605843260
Janet,China,Zhutang,Female,6761836034499076982
Ranice,Poland,Gomunice,Female,3530533221960324
Angelika,China,Tongyu,Female,5100141263723181
Kele,China,Sanhui,Male,676729131016166258
Garrot,Japan,Hirakata,Male,6333398399622143969
Bessy,Philippines,Kulaman,Female,374283416620706
Mauricio,Indonesia,Pojok,Male,5108755144171054
Aron,China,Jiancheng,Male,6762127762644793
Hilliard,Finland,Vihti,Male,3561322803340473
Nonah,Kazakhstan,Zhanaozen,Female,201736913301962
Butch,Ireland,Castlemartyr,Male,3560174237827604
Bar,France,Metz,Male,4913946050682923
Moria,United States,Denver,Female,4936647547283173425
Fred,Philippines,Panikihan,Female,3552629059099566
Waylan,Russia,Novominskaya,Male,6378398399217354
Layton,China,Limushan,Male,6709198131029061
Cristabel,China,Fengmu,Female,3530181817826143
Abram,Bulgaria,Dupnitsa,Male,493684500573632915
Zedekiah,China,Xinshi,Male,5534631505973251
Pauly,Guinea,Faranah,Male,5100172342165631
Jud,China,Quma,Male,5602225909591152
Candra,South Africa,Graksop,Female,3531587074663731
Ira,Armenia,Ejmiatsin,Female,5449078918817333
Gerrie,Tunisia,Monastir,Female,3575356189323525
Farrand,China,Jiangzao,Female,490530400616059410
Sherrie,China,Xigaoshan,Female,5048376427923971
Alair,China,Zhuge,Male,201776106654447
Theodor,Poland,Wysoka,Male,6333276727937818502
Prudy,Russia,Karasuk,Female,3547933555150735
